MANGORADIO;https://mangoradio.stream.laut.fm/mangoradio;assets/logos/MANGORADIO.png
Deutschlandfunk | DLF | MP3 128k;https://st01.sslstream.dlf.de/dlf/01/128/mp3/stream.mp3?aggregator=web;assets/logos/DeutschlandfunkDLFMP3128k.png
SWR3;https://liveradio.swr.de/sw282p3/swr3/play.mp3;assets/logos/SWR3.png
1LIVE;http://wdr-1live-live.icecast.wdr.de/wdr/1live/live/mp3/128/stream.mp3;assets/logos/1LIVE.png
Bayern 3;https://dispatcher.rndfnk.com/br/br3/live/mp3/mid;assets/logos/Bayern3.png
WDR 5;http://wdr-wdr5-live.icecast.wdr.de/wdr/wdr5/live/mp3/128/stream.mp3;assets/logos/WDR5.png
Rock Antenne;http://mp3channels.webradio.rockantenne.de/rockantenne;assets/logos/RockAntenne.png
 \tROCKANTENNE Alternative (mp3);https://stream.rockantenne.de/alternative/stream/mp3;assets/logos/tROCKANTENNEAlternativemp3.png
Radio Eins;http://f121.rndfnk.com/ard/rbb/radioeins/live/mp3/128/stream.mp3?cid=01FC1WH12KJ93TCQPDSE2E5PZ9&sid=38HoeEhwMU9ZjQaArYLcNuLu9LN&token=VXH8C52tOJ6o_G5uLXexxjt84DXyHGfH0RABfQljedk&tvf=8PpblQ7uihhmMTIxLnJuZGZuay5jb20;assets/logos/RadioEins.png
WDR4;https://wdr-wdr4-live.icecastssl.wdr.de/wdr/wdr4/live/mp3/128/stream.mp3;assets/logos/WDR4.png
Sunshine Live;http://stream.sunshine-live.de/live/mp3-192/stream.sunshine-live.de/;assets/logos/default.png
Antenne Bayern;http://mp3channels.webradio.antenne.de/antenne;assets/logos/default.png
80s80s;http://streams.80s80s.de/web/mp3-192/streams.80s80s.de/;assets/logos/default.png
TechnoBase.FM;http://lw2.mp3.tb-group.fm/tb.mp3;assets/logos/TechnoBaseFM.png
WDR 2 Rheinland;http://wdr-wdr2-rheinland.icecast.wdr.de/wdr/wdr2/rheinland/mp3/128/stream.mp3;assets/logos/WDR2Rheinland.png
Rock Antenne - Heavy Metal;http://mp3channels.webradio.rockantenne.de/heavy-metal;assets/logos/RockAntenneHeavyMetal.png
Inforadio;http://dispatcher.rndfnk.com/rbb/inforadio/live/mp3/mid;assets/logos/Inforadio.png
Sunshine Live;http://sunsl.streamabc.net/sunsl-sslsimulcast-mp3-192-4434053?sABC=6557p1o3%230%236080533n48sp2nrq0o4389q6o67o3qps%23fgernz.fhafuvar-yvir.qr&aw_0_1st.playerid=stream.sunshine-live.de&amsparams=playerid:stream.sunshine-live.de;skey:1700250035;assets/logos/SunshineLive.png
Klassik Radio - Live;https://live.streams.klassikradio.de/klassikradio-deutschland/stream/mp3;assets/logos/KlassikRadioLive.png
90s90s Hits;http://streams.90s90s.de/pop/mp3-192/streams.90s90s.de/;assets/logos/default.png
NDR 2;https://icecast.ndr.de/ndr/ndr2/niedersachsen/mp3/128/stream.mp3;assets/logos/NDR2.png
Bayern 1 Oberbayern;https://dispatcher.rndfnk.com/br/br1/obb/mp3/mid;assets/logos/Bayern1Oberbayern.png
Deutschlandfunk | DLF | AAC 192k;https://st01.sslstream.dlf.de/dlf/01/high/aac/stream.aac?aggregator=web;assets/logos/DeutschlandfunkDLFAAC192k.png
